state;postcode;locality;division
D;862;Anthony Lagoon Stn;LINGIARI
D;862;Renner Springs;LINGIARI
D;862;Wollogorang Stn;LINGIARI
D;872;Alcoota Stn;LINGIARI
D;872;Andado Stn;LINGIARI
D;872;Angatyepe;LINGIARI
D;872;Arltunga;LINGIARI
D;872;Atartinga Stn;LINGIARI
D;872;Barrow Creek;LINGIARI
D;872;Bushy Park Stn;LINGIARI
D;872;Ilpurla;LINGIARI
D;872;Intjartnama;LINGIARI
D;872;Ipolera;LINGIARI
D;872;Kwale Kwale;LINGIARI
D;872;Lilla;LINGIARI
D;872;Mt Swan Stn;LINGIARI
D;872;Mt Zeil;LINGIARI
D;872;New Crown Stn;LINGIARI
D;872;Oak Valley;LINGIARI
D;872;Ormiston Gorge;LINGIARI
D;872;Simpsons Gap National Pk;LINGIARI
D;872;Tjuwanpa;LINGIARI
D;872;Warren Creek;LINGIARI
D;872;West Macdonnell Nat Pk;LINGIARI
D;872;West Waterhouse;LINGIARI
D;872;Williams Well;LINGIARI
D;872;Woodgreen Stn;LINGIARI
D;872;Yulara Pulka;LINGIARI
D;880;Bawaka;LINGIARI
D;880;Dhaniya;LINGIARI
D;886;Patonga Homestead;LINGIARI
D;822;Emerald River;LINGIARI
D;822;Gulumarri;LINGIARI
D;822;Hazard Stn;LINGIARI
D;822;Manton River Stn;LINGIARI
D;822;Nourlangie;LINGIARI
D;822;Spring Peak;LINGIARI
D;822;Wiligi;LINGIARI
D;822;Wiltju;LINGIARI
D;822;Yedikba;LINGIARI
D;846;Maneroo Stn;LINGIARI
D;852;Avago Stn;LINGIARI
D;852;Barrak Barrak;LINGIARI
D;852;Coodardie Stn;LINGIARI
D;852;Elsey Stn;LINGIARI
D;852;Hodgson River Stn;LINGIARI
D;852;Kidman Springs;LINGIARI
D;852;Marralum;LINGIARI
D;852;McArthur River Stn;LINGIARI
D;852;Pigeon Hole Stn;LINGIARI
D;852;Tanumbirini Stn;LINGIARI
D;852;Tarlee Stn;LINGIARI
D;854;Mimina;LINGIARI
D;854;Wada Wadalla;LINGIARI
D;854;Wollogorang;LINGIARI
D;854;Wurlbu;LINGIARI
D;862;Alinjirri Warnkkar;LINGIARI
D;862;Avon Downs Stn;LINGIARI
D;862;Beetaloo Stn;LINGIARI
D;862;Eva Downs Stn;LINGIARI
D;862;Jungalina;LINGIARI
D;862;Kalumpurlpa;LINGIARI
D;862;Likkaparta;LINGIARI
D;862;Mittiebah Stn;LINGIARI
D;862;Wauchope;LINGIARI
D;862;Wunara;LINGIARI
D;870;Akngwertnarre;LINGIARI
D;870;Irrkerlantye;LINGIARI
D;870;Kite Hawk;LINGIARI
D;870;Morris Soak;LINGIARI
D;870;White Gate;LINGIARI
D;872;Allambi Stn;LINGIARI
D;872;Ambalindum Stn;LINGIARI
D;872;Ammaroo Stn;LINGIARI
D;872;Anningie;LINGIARI
D;872;Blackwater;LINGIARI
D;872;Bond Springs Stn;LINGIARI
D;872;Curtin Springs Stn;LINGIARI
D;872;Eight Mile;LINGIARI
D;872;Elkedra Stn;LINGIARI
D;872;Finke Gorge National Park;LINGIARI
D;872;Hamilton Downs Stn;LINGIARI
D;872;John Holland Bore;LINGIARI
D;872;Kaporilya;LINGIARI
D;872;Kulgera;LINGIARI
D;872;Kulpitharra;LINGIARI
D;872;Loves Creek Stn;LINGIARI
D;872;Orange Creek Stn;LINGIARI
D;872;Pine Hill;LINGIARI
D;872;Pwerte Marnte Marnte;LINGIARI
D;872;Sixteen Mile Camp;LINGIARI
D;872;Tarlton Downs Stn;LINGIARI
D;872;Tjamangkurra;LINGIARI
D;880;Burrum;LINGIARI
D;822;Humpty Doo Stn;LINGIARI
D;822;Malgawa;LINGIARI
D;822;Malnjangarnak;LINGIARI
D;822;Swim Creek Plains Stn;LINGIARI
D;822;Walangurrminy;LINGIARI
D;822;Wickham;LINGIARI
D;822;Woolaning;LINGIARI
D;822;Wurdeja;LINGIARI
D;837;Donalds Lagoon Stn;LINGIARI
D;852;Badawarrka;LINGIARI
D;852;Baines;LINGIARI
